date | value
2011-01-03 | 3.00
2011-01-04 | 3.20
2011-01-05 | 3.50
2011-01-06 | 3.80
2011-01-07 | 4.00
2011-01-08 | 4.10
2011-01-09 | 4.20
2011-01-10 | 4.30
2011-01-11 | 4.50
2011-01-12 | 4.60
2011-01-13 | 4.70
2011-01-14 | 4.80
2011-01-15 | 5.00
2011-01-16 | 5.20
2011-01-17 | 5.30
2011-01-18 | 5.40
2011-01-19 | 5.60
2011-01-20 | 5.80
2011-01-21 | 6.00
2011-01-22 | 6.20
2011-01-23 | 6.50
2011-01-24 | 6.70
2011-01-25 | 6.90
2011-01-26 | 7.00
2011-01-27 | 7.10
2011-01-28 | 7.30
2011-01-29 | 7.50
2011-01-30 | 7.60
2011-01-31 | 7.70
2011-02-01 | 7.90
2011-02-02 | 8.00
2011-02-03 | 8.10
2011-02-04 | 8.30
2011-02-05 | 8.50
2011-02-06 | 8.60
2011-02-07 | 8.80
2011-02-08 | 9.00
2011-02-09 | 9.20
2011-02-10 | 9.30
